keypoint_index,keypoint_name,uuid,color
135,r-midpoint-5-of-upper-eyelid-line,6774326d-8f9a-4c9d-b9f2-9465a000a5f4,"(64, 32, 192)"
136,r-midpoint-2-of-upper-eyelid-line,a6c621cf-c8d7-490e-ab24-7521f9aea3b4,"(64, 32, 192)"
137,r-midpoint-6-of-upper-eyelid-line,fb70694a-b304-4c88-9ea4-5fdd7886fe4a,"(64, 32, 192)"
138,r-midpoint-3-of-upper-crease-line,f95cf20f-a909-4d59-a403-e5e96a0dfc4d,"(64, 32, 192)"
139,r-midpoint-1-of-upper-crease-line,523f5e66-66f0-4aca-9146-df45fddf3243,"(64, 32, 192)"
140,r-midpoint-4-of-upper-crease-line,dd79bd84-b304-448e-990f-4254623cfac3,"(64, 32, 192)"
141,r-centerpoint-of-upper-crease-line,47053e7f-143a-4ce0-b151-5aa15a9c3554,"(64, 32, 192)"
142,r-midpoint-5-of-upper-crease-line,33af7843-4407-4ef6-bcd2-333cf43a23ea,"(64, 32, 192)"
143,r-midpoint-2-of-upper-crease-line,4294202a-4bc2-4b19-bf4c-ea89b904a419,"(64, 32, 192)"
144,r-midpoint-6-of-upper-crease-line,1cb1ee7a-7ca4-4287-97e5-57f7db8c5d9f,"(64, 32, 192)"
145,l-inner-end-of-lower-lash-line,7c5b0a4e-9bb2-419a-97a0-fac7e3ba667c,"(64, 192, 128)"
146,l-outer-end-of-lower-lash-line,1497009c-e105-4965-97c4-35b7b8bed856,"(64, 192, 128)"
147,l-centerpoint-of-lower-lash-line,fdfa54ad-26f1-4400-b08e-c54b58840c5f,"(64, 192, 128)"
148,l-midpoint-2-of-lower-lash-line,44575a96-7f0c-4b89-8697-95235c1059bf,"(64, 192, 128)"
149,l-midpoint-1-of-lower-lash-line,f2237227-061d-41fe-8c3c-60aace81e150,"(64, 192, 128)"
150,l-midpoint-6-of-lower-lash-line,c20e66ac-be17-46ed-b426-b476d60e1e6d,"(64, 192, 128)"
151,l-midpoint-5-of-lower-lash-line,db5876ce-344d-4b91-8ae7-9f057908bb03,"(64, 192, 128)"
152,l-midpoint-4-of-lower-lash-line,deec76f6-6a37-4e4e-9058-91b8185c18da,"(64, 192, 128)"
153,l-midpoint-3-of-lower-lash-line,50fd3804-8a34-4e0a-8f12-c5441eeb04b4,"(64, 192, 128)"
154,l-outer-end-of-lower-eyelid-line,46163701-c1ce-4f4e-bcc5-c5a70136a906,"(64, 192, 128)"
155,l-midpoint-6-of-lower-eyelid-line,88cbfe9c-002a-4986-9012-4834cfc9da92,"(64, 192, 128)"
156,l-midpoint-2-of-lower-eyelid-line,eb4ecc53-b5af-4b77-966a-6543dde869ac,"(64, 192, 128)"
157,l-midpoint-5-of-lower-eyelid-line,83d2086e-d023-4500-9441-fef6fd044bd0,"(64, 192, 128)"
158,l-centerpoint-of-lower-eyelid-line,7f11abee-2ba1-4821-8ef6-933c351351bf,"(64, 192, 128)"
159,l-midpoint-4-of-lower-eyelid-line,ba44bccc-7134-4252-a2a3-cb768b5db942,"(64, 192, 128)"
160,l-midpoint-1-of-lower-eyelid-line,79d6fd22-8295-4674-9c18-3c65de9e206a,"(64, 192, 128)"
161,l-midpoint-3-of-lower-eyelid-line,efe15237-8705-4234-9c01-c2f1189ebe40,"(64, 192, 128)"
162,r-inner-end-of-lower-lash-line,dc56d86c-11b0-4d1b-bb18-33e512453a73,"(64, 192, 32)"
163,r-outer-end-of-lower-lash-line,f3db88e9-18f4-481b-9328-2d1870194f30,"(64, 192, 32)"
164,r-centerpoint-of-lower-lash-line,9f227a61-0139-453b-b075-953213e4c1f1,"(64, 192, 32)"
165,r-midpoint-1-of-lower-lash-line,76f43f4c-e478-4dd7-a91d-1a87a91e8d5c,"(64, 192, 32)"
166,r-midpoint-2-of-lower-lash-line,70aba055-054f-4549-a9f6-624d0a0955f7,"(64, 192, 32)"
167,r-midpoint-3-of-lower-lash-line,b9210215-9f60-4ab4-aaeb-8356e7e5ea21,"(64, 192, 32)"
168,r-midpoint-4-of-lower-lash-line,e536b8f9-067a-4d44-81f5-cfc44ff43f7f,"(64, 192, 32)"
169,r-midpoint-5-of-lower-lash-line,56318676-c031-46ba-9c2f-28ecd6a0e594,"(64, 192, 32)"
170,r-midpoint-6-of-lower-lash-line,3e37e0de-4723-45a8-b165-f237b84a2d04,"(64, 192, 32)"
171,r-outer-end-of-lower-eyelid-line,199bd802-14f0-45ae-83e4-02d0ab432be9,"(64, 192, 32)"
172,r-midpoint-3-of-lower-eyelid-line,02981bee-dfa8-4aad-9584-7693f3c7662a,"(64, 192, 32)"
173,r-midpoint-1-of-lower-eyelid-line,2fd097c4-49d5-4bab-95f0-359413c6d0f9,"(64, 192, 32)"
174,r-midpoint-4-of-lower-eyelid-line,175de89d-baac-4665-8bf8-4196b3277b98,"(64, 192, 32)"
175,r-centerpoint-of-lower-eyelid-line,e52de770-7da4-4e99-b390-4676738fcce1,"(64, 192, 32)"
176,r-midpoint-5-of-lower-eyelid-line,add195b3-92d5-4294-9ba9-4ff4dd08fbcf,"(64, 192, 32)"
177,r-midpoint-2-of-lower-eyelid-line,c6ab85b6-5a14-4510-acf7-5a18ed600826,"(64, 192, 32)"
178,r-midpoint-6-of-lower-eyelid-line,3eb705ea-1084-47f6-8ff9-c515f454051b,"(64, 192, 32)"
179,tip-of-nose,0e452561-db44-4b86-a10c-cb5bed62621c,"(0, 192, 0)"
180,bottom-center-of-nose,d5d0bf76-3e51-4af2-9a29-9253db8a25c1,"(0, 192, 0)"
181,r-outer-corner-of-nose,9bc1af13-dbcb-466d-af4f-67d4f5a69f13,"(0, 192, 0)"
182,l-outer-corner-of-nose,cb907c22-9b01-4544-a03d-71a29fa93ac1,"(0, 192, 0)"
183,inner-corner-of-r-nostril,842fb4ad-bc4a-4ee8-b63a-1d5a51ec7f9d,"(0, 192, 0)"
184,outer-corner-of-r-nostril,d3badb70-3208-41f3-85b1-f7df70815efb,"(0, 192, 0)"
185,upper-corner-of-r-nostril,47067296-ea8f-4f4c-b906-facbeec2ccf4,"(0, 192, 0)"
186,inner-corner-of-l-nostril,80a33252-8a7b-4c53-91d7-e47ea326be5c,"(0, 192, 0)"
187,outer-corner-of-l-nostril,c13009d7-439d-4cf2-bb7b-276d3dac7ebd,"(0, 192, 0)"
188,upper-corner-of-l-nostril,5da4b127-7fd3-48a5-811a-a8697e91c953,"(0, 192, 0)"
189,r-outer-corner-of-mouth,ff4d4250-7f66-4df1-ae6b-79097bbc4e01,"(192, 0, 0)"
190,l-outer-corner-of-mouth,1dbb65df-ec9c-4ff9-9cb3-7e0b158abbec,"(192, 0, 0)"
191,center-of-cupid-bow,cbb1aec2-a9d7-4662-8829-c516ae78c096,"(192, 0, 0)"
192,center-of-lower-outer-lip,56d73401-a0b0-49ea-8d91-3f3dd274c85c,"(192, 0, 0)"
193,midpoint-1-of-upper-outer-lip,ab86899b-4429-4b6e-8959-6cb0427ad76b,"(192, 0, 0)"
194,midpoint-2-of-upper-outer-lip,50f92a09-1d43-4254-8df4-c6deda3668ac,"(192, 0, 0)"
